idstd;id;panel;a4a;a6a;a4b;a6c;a6b;a1;country;lcu;a7a;a20y;b1;b3;b2a;b2b;b2c;b2d;b4;b4a;bmb1;bmb2;bmb3;bmb4;b5;b6;b6b;b7;b7a;d1a1a;d1a1x;d1a3;d2;n3;bmd1a;bmd1b;d3a;d3b;d3c;bmr2;bmr3;bmr4;bmr5;bmr6;bmr7;bmr8;e1;e2b;h1;h2;h5;bmh1;bmh2;bmh3;h8;h9;bmt3;k4;n5a;n5b;bmk6;k4b;n5c;n5d;k21;j6a;l1;l2;l4a1;l4a2;l4b;l5a;l5b;l5;l6;l6a;l8;l9b;l9b1;bml1a;bml1b;l10;bml2;l11a;l11a1;l11b;n2a;n2e;n2b;n2f;n2i;n2p;n2e1;n7a;bmge1;bmge2;d1a2;stratificationsizecode;stratificationsectorcode;Cyprus;Estonia;Greece;Italy;Latvia;Lithuania;Malta;Portugal;Slovak_rep;Slovenia;firm_age;manager_experience;top_manager_female;firm_size;sales;exportsDV;manufacturing;retail;other_services;food;garments;metal_products;machinery;other_manufacturing;R_D;product_innovation;fixed_asset;ln_sales;female_owners;family_firms
658585;730;Fresh;Fabricated Metal Products;Small;Fabricated metal products;6;Small;Italy;Italy;Euro (EUR);;2018;Partnership;100;100;0;0;0;No;;100;100;No;No;1968;6;1968;50;No;Manufacturing of ;Production Of Metallic Structures;80;600000;500000;Increase;20;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;10;No;;No;No;No;No;;;;No;;;No;No;;;No;No;6;6;4;0;0;0;0;;6;0;12;100;;No one has a university degree;;No;;;;;150000;150000;30000;20000;;360000;600000;100000;400000;10000;2811;Small (5-19);2;0;0;0;1;0;0;0;0;0;0;53;50;0;6;600000;0;0;0;0;0;0;1;0;0;0;0;2;13;0;1
658586;749;Fresh;Food & Beverages;Small;Food;7;Small;Italy;Italy;Euro (EUR);;2018;Sole proprietorship;100;100;0;0;0;Yes;100;100;100;No;No;2004;5;2004;20;Yes;Manufacturing of ;Production Of Bakery Products;100;7000000;633000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;Yes;No;;;No;No;8;8;0;0;6;4;2;;No full-time seasonal or temporary workers;;;55;;1;;No;;;;;200000;3000000;1500000;150000;;5500000;3000000;1.50e+07;3.00e+07;150000;1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;17;20;1;8;7000000;0;0;0;0;1;0;0;0;0;0;0;2;16;1;1
658587;754;Fresh;Food & Beverages;Small;Hotel and restaurants: section H;6;Small;Italy;Italy;Euro (EUR);;2018;Sole proprietorship;100;100;0;0;0;Yes;100;100;100;No;No;2006;2;2006;18;Yes;Hotel or restaurant;Coffee Shop;100;200000;150000;Decrease;20;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;0;No;;Yes;No;No;No;;;;Yes;Don't know (spontaneous);30000;No;;;;Yes;No;6;4;;;;;;3;6;3;12;;4;;2;No;;;;;60000;;10000;0;;;;;Don't know (spontaneous);0;5520;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;15;18;1;6;200000;0;0;0;0;1;0;0;0;0;0;0;1;12;1;1
658588;772;Fresh;Food & Beverages;Small;Food;8;Small;Italy;Italy;Euro (EUR);;2018;Shareholding company with shares traded on the stock market;100;100;0;0;0;No;;0;;No;No;2014;3;2014;10;Yes;Manufacturing of ;Manufacture Of Traditional Dishes Based On Pasta And Pizza;100;5500000;5500000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;8;8;0;0;6;4;2;;No full-time seasonal or temporary workers;;;100;;1;;No;;;;;150000;2500000;1000000;0;;5000000;2500000;1.50e+07;8000000;0;1544;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;7;10;1;8;5500000;0;0;0;0;1;0;0;0;0;0;0;2;16;0;0
658589;811;Fresh;Food & Beverages;Small;Food;5;Small;Italy;Italy;Euro (EUR);2;2018;Partnership;50;100;0;0;0;No;;100;100;Don't know (spontaneous);No;1999;2;1999;20;No;Manufacturing of ;Production And Retail Of Bread And Pizza;100;500000;450000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;20;No;;No;No;No;No;;;;No;;;No;No;;;No;No;5;4;2;1;0;1;1;;No full-time seasonal or temporary workers;;;;5;;1;No;;;;;60000;2000;600;Don't know (spontaneous);;65000;30000;Don't know (spontaneous);15000;Don't know (spontaneous);1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;22;20;0;5;500000;0;0;0;0;1;0;0;0;0;0;0;2;13;0;1
658590;813;Fresh;Food & Beverages;Small;Food;12;Small;Italy;Italy;Euro (EUR);3;2018;Partnership;80;100;0;0;0;No;;100;100;No;Yes;1950;6;2005;40;No;Manufacturing of ;Production Of Bovine, Swine And Meat Products;100;3500000;4000000;Stay the same;;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Too many to count;Yes;Yes;No;No;No;No;;;;No;;;No;No;;;No;No;12;12;3;4;2;0;1;;12;1;12;;2;;No one has a university degree;Yes;Job-specific technical skills;;9;;432000;1000000;10000;18000;;1465000;1000000;400000;40000;12857;1511;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;71;40;0;12;3500000;0;0;0;0;1;0;0;0;0;0;1;2;15;0;1
658591;826;Fresh;Food & Beverages;Small;Food;10;Small;Italy;Italy;Euro (EUR);;2017;Sole proprietorship;100;100;0;0;0;Yes;100;100;100;No;No;1989;6;1989;28;No;Manufacturing of ;Dairy Products;80;120000;110000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;10;No;;Yes;No;No;No;;;;No;;;No;No;;;Yes;No;10;10;0;0;9;6;0;;No full-time seasonal or temporary workers;;;90;;5;;No;;;;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);400000;Don't know (spontaneous);Don't know (spontaneous);1520;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;32;28;0;10;120000;0;0;0;0;1;0;0;0;0;0;0;2;12;1;1
658592;872;Fresh;Food & Beverages;Small;Food;5;Small;Italy;Italy;Euro (EUR);;2018;Shareholding company with shares traded on the stock market;100;100;0;0;0;No;;100;100;No;No;2004;2;2004;20;No;Manufacturing of ;Production Of Bread;100;200000;225000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;Yes;No;No;No;No;No;;;;No;;;No;No;;;No;No;5;4;2;1;1;0;1;;5;1;12;;2;;No one has a university degree;No;;;;;60000;90000;2400;1300;;154000;100000;30000;9600;896;1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;17;20;0;5;200000;0;0;0;0;1;0;0;0;0;0;1;2;12;0;1
658593;900;Fresh;Food & Beverages;Small;Food;11;Small;Italy;Italy;Euro (EUR);;2018;Limited partnership;100;100;0;0;0;No;;100;100;No;No;2000;11;2000;40;No;Manufacturing of ;Production Of Fresh Cheese And Mozzarella;99;600000;680000;Stay the same;;70;30;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;11;11;4;2;0;3;1;;11;4;12;;5;;No one has a university degree;No;;;;;198000;100000;2500;2000;;303500;100000;350000;10000;1500;1520;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;21;40;0;11;600000;1;0;0;0;1;0;0;0;0;0;0;2;13;0;1
658594;913;Fresh;Food & Beverages;Small;Food;6;Small;Italy;Italy;Euro (EUR);;2016;Partnership;90;0;0;0;100;No;;90;90;No;No;2015;6;2015;15;No;Manufacturing of ;Dairy Products Production;85;Don't know (spontaneous);Establishment was not in business in Fiscal Year;Decrease;5;70;30;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;20;No;;No;No;Yes;No;No;;;No;;;No;No;;;No;No;6;Establishment was not in business;3;0;0;0;2;;No full-time seasonal or temporary workers;;;;4;;2;No;;;;;100000;Don't know (spontaneous);6000;Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);300000;Don't know (spontaneous);Don't know (spontaneous);1520;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;6;15;0;6;;1;0;0;0;1;0;0;0;0;1;0;2;;0;1
658595;930;Fresh;Food & Beverages;Small;Food;5;Small;Italy;Italy;Euro (EUR);;2018;Sole proprietorship;100;100;0;0;0;No;;100;80;No;No;2005;5;2005;14;No;Manufacturing of ;Production Of Chocolate And Cocoa Powder;100;200000;200000;Stay the same;;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Don't know (spontaneous);No;;No;No;No;No;;;;Yes;60000;60000;No;No;;;Yes;No;12;10;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);5;;No full-time seasonal or temporary workers;;;50;;1;;No;;;;;35000;35000;Don't know (spontaneous);Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1543;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;16;14;0;12;200000;0;0;0;0;1;0;0;0;0;0;0;1;12;0;1
658596;958;Fresh;Food & Beverages;Small;Retail;5;Small;Italy;Italy;Euro (EUR);;2018;Partnership;33;100;0;0;0;No;;90;90;No;No;2005;5;2005;14;No;Retail trade of;Production And Sale Of Dairy Products;100;650000;500000;Decrease;20;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Too many to count;No;;No;No;Yes;No;Yes;100000;;Yes;50000;0;No;;;;No;No;5;5;;;;;;Don't know (spontaneous);No full-time seasonal or temporary workers;;;100;;1;;No;;;;;150000;;10000;6500;300000;;;;Don't know (spontaneous);Don't know (spontaneous);5220;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;16;14;0;5;650000;0;0;0;0;1;0;0;0;0;1;0;1;13;0;1
658597;971;Fresh;Food & Beverages;Small;Food;10;Small;Italy;Italy;Euro (EUR);;2017;Partnership;70;100;0;0;0;Yes;30;70;50;Yes;No;2009;6;2009;10;No;Manufacturing of ;Production Of Frozen Food;100;500000;450000;Stay the same;;30;0;70;;;;;;;;International;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;10;8;6;0;2;0;0;;No full-time seasonal or temporary workers;;;100;;20;;No;;;;;134000;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1549;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;12;10;0;10;500000;1;0;0;0;1;0;0;0;0;0;0;2;13;1;1
658598;990;Fresh;Food & Beverages;Small;Food;6;Small;Italy;Italy;Euro (EUR);;2017;Shareholding company with shares traded on the stock market;100;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);No;;Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);2007;10;No;Manufacturing of ;Production Of Half-Processed Food Products For Typical Sicilian Patisserie And Especially Production Of Peels For Cannoli;100;945000;756000;Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Don't know (spontaneous);No;;No;No;No;No;;;;Don't know (spontaneous);;;Don't know (spontaneous);Don't know (spontaneous);;;No;No;6;5;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;2;2;2;50;;;2;No;;;;;120000;200000;4000;3000;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1549;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;;10;0;6;945000;;0;0;0;1;0;0;0;0;0;0;;14;0;0
658599;1007;Fresh;Food & Beverages;Small;Food;6;Small;Italy;Italy;Euro (EUR);;2017;Shareholding company with shares traded on the stock market;100;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);No;;0;;No;No;1980;5;1980;25;No;Manufacturing of ;Production Of Bread And Bread-Related Products;100;Don't know (spontaneous);Don't know (spontaneous);Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;7;5;2;2;0;0;0;;No full-time seasonal or temporary workers;;;100;;;1;No;;;;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;41;25;0;7;;0;0;0;0;1;0;0;0;0;0;0;2;;0;0
658600;1010;Fresh;Food & Beverages;Small;Food;6;Small;Italy;Italy;Euro (EUR);;2017;Shareholding company with shares traded on the stock market;100;100;0;0;0;No;;0;;No;No;2003;3;2003;20;No;Manufacturing of ;Production Of Confectionery Products;100;35000;20000;Increase;15;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;7;4;0;1;4;2;1;;No full-time seasonal or temporary workers;;;100;;;1;No;;;;;8000;7000;6000;1000;;22340;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1543;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;18;20;0;7;35000;0;0;0;0;1;0;0;0;0;0;0;2;10;0;0
658601;1012;Fresh;Food & Beverages;Small;Food;5;Small;Italy;Italy;Euro (EUR);;2017;Shareholding company with shares traded on the stock market;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Yes;Don't know (spontaneous);100;Don't know (spontaneous);No;No;2015;Don't know (spontaneous);2015;10;No;Manufacturing of ;Production Of Bread;100;1000000;Establishment was not in business in Fiscal Year;Stay the same;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Don't know (spontaneous);Yes;No;No;No;No;Don't know (spontaneous);Don't know (spontaneous);;;No;;;No;No;;;Don't know (spontaneous);No;6;Establishment was not in business;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;2;0;8;;3;Don't know (spontaneous);;No;;;;;120000;110000;4000;3000;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;6;10;0;6;1000000;;0;0;0;1;0;0;0;0;;1;2;14;1;1
658602;1029;Fresh;Food & Beverages;Small;Retail;5;Small;Italy;Italy;Euro (EUR);;2018;Shareholding company with shares traded on the stock market;100;100;0;0;0;No;;100;100;No;No;1992;2;1992;35;No;Retail trade of;Retail Trade Of Clothing For Women;100;200000;Don't know (spontaneous);Decrease;20;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;10;No;;No;No;No;No;;;;No;;;No;;;;No;No;5;3;;;;;;3;2;2;12;100;;;2;No;;;;;87000;;12000;0;60000;;;;Don't know (spontaneous);0;5232;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;29;35;0;5;200000;0;0;0;0;1;0;0;0;0;0;0;2;12;0;1
658603;1044;Fresh;Food & Beverages;Small;Food;5;Small;Italy;Italy;Euro (EUR);;2017;Shareholding company with shares traded on the stock market;100;100;0;0;0;No;;0;;No;No;2011;5;2011;7;No;Manufacturing of ;Production Of Bread;100;70000;Don't know (spontaneous);Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;5;5;4;0;0;0;1;;No full-time seasonal or temporary workers;;;100;;No one has a university degree;;No;;;;;12000;23000;3000;Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);3800;Don't know (spontaneous);Don't know (spontaneous);1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;10;7;0;5;70000;0;0;0;0;1;0;0;0;0;0;0;2;11;0;0
658604;1048;Fresh;Food & Beverages;Small;Food;6;Small;Italy;Italy;Euro (EUR);;2017;Partnership;60;100;0;0;0;Yes;20;0;;No;No;2010;4;2010;12;No;Manufacturing of ;Processing And Storage Of Food Products Based On Meat;90;1000567;934530;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;6;4;0;0;3;0;1;;No full-time seasonal or temporary workers;;;100;;;1;No;;;;;120000;150000;4000;3000;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1511;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;11;12;0;6;1000567;0;0;0;0;1;0;0;0;0;0;0;2;14;1;0
658605;1093;Fresh;Food & Beverages;Small;Food;5;Small;Italy;Italy;Euro (EUR);;2018;Shareholding company with shares traded on the stock market;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Yes;60;100;100;No;No;2008;4;2008;15;Yes;Manufacturing of ;Production Of Bread, Bakery Products And Patisserie;100;1650000;1175600;Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Don't know (spontaneous);No;;No;No;No;No;;;;No;;;No;No;;;No;No;6;5;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;1;1;2;40;;;1;Don't know (spontaneous);;;;;120000;160000;4000;3000;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;13;15;1;6;1650000;;0;0;0;1;0;0;0;0;0;0;2;14;1;1
658606;1125;Fresh;Food & Beverages;Small;Retail;10;Small;Italy;Italy;Euro (EUR);;2017;Partnership;80;100;0;0;0;No;;0;;No;No;2004;10;2004;14;No;Retail trade of;Retail Of Food And Beverages;100;80000;Don't know (spontaneous);Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;;;;No;No;10;10;;;;;;0;No full-time seasonal or temporary workers;;;100;;No one has a university degree;;No;;;;;30000;;18000;Don't know (spontaneous);Don't know (spontaneous);;;;Don't know (spontaneous);Don't know (spontaneous);5220;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;17;14;0;10;80000;0;0;0;0;1;0;0;0;0;0;0;2;11;0;0
658607;1215;Fresh;Food & Beverages;Small;Food;6;Small;Italy;Italy;Euro (EUR);;2017;Sole proprietorship;100;100;0;0;0;No;;100;100;No;No;1973;2;1973;45;No;Manufacturing of ;Bread;70;110000;Don't know (spontaneous);Decrease;Don't know (spontaneous);100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;5;No;;No;No;No;No;;;;No;;;No;No;;;No;No;6;5;3;0;1;0;2;;No full-time seasonal or temporary workers;;;;2;;No one has a university degree;No;;;;;Don't know (spontaneous);Don't know (spontaneous);25000;Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);400000;Don't know (spontaneous);Don't know (spontaneous);1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;48;45;0;6;110000;0;0;0;0;1;0;0;0;0;0;0;2;12;0;1
658608;1222;Fresh;Food & Beverages;Small;Food;6;Small;Italy;Italy;Euro (EUR);;2017;Partnership;70;100;0;0;0;Yes;30;0;;No;No;2004;5;2004;10;No;Manufacturing of ;Production Of Food Products, Bakery And Confectionery Products;100;945000;Don't know (spontaneous);Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;6;5;0;1;4;2;1;;No full-time seasonal or temporary workers;;;100;;;1;No;;;;;Don't know (spontaneous);5000;Don't know (spontaneous);Don't know (spontaneous);;10000;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;17;10;0;6;945000;0;0;0;0;1;0;0;0;0;0;0;2;14;1;0
658609;1231;Fresh;Food & Beverages;Small;Food;6;Small;Italy;Italy;Euro (EUR);;2017;Shareholding company with shares traded on the stock market;100;100;0;0;0;No;;100;100;No;No;1993;3;1993;20;No;Manufacturing of ;Production Of Bread And Bread-Related Products;100;Don't know (spontaneous);Don't know (spontaneous);Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Don't know (spontaneous);No;;No;No;No;No;;;;No;;;No;No;;;No;No;5;5;0;0;5;0;0;;No full-time seasonal or temporary workers;;;100;;;1;No;;;;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;28;20;0;5;;0;0;0;0;1;0;0;0;0;0;0;2;;0;1
658610;1235;Fresh;Food & Beverages;Small;Food;12;Small;Italy;Italy;Euro (EUR);;2017;Partnership;60;100;0;0;0;No;;0;;No;Yes;1991;8;1991;15;No;Manufacturing of ;Production Of Sparkling Beverages;100;150000;120000;Increase;20;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;12;8;8;2;0;0;2;;No full-time seasonal or temporary workers;;;100;;50;;No;;;;;20000;2000;2000;Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);2000;Don't know (spontaneous);Don't know (spontaneous);1554;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;30;15;0;12;150000;0;0;0;0;1;0;0;0;0;0;0;2;12;0;0
658611;1244;Fresh;Food & Beverages;Small;Food;15;Small;Italy;Italy;Euro (EUR);;2018;Partnership;55;100;0;0;0;Yes;45;100;100;Yes;No;2012;2;2012;7;No;Manufacturing of ;Production Of White And Dark Craft Beers;100;1000000;900000;Increase;1;80;10;10;;;;;;;;National Ð main product sold mostly across the country where establishment is located;5;No;;No;No;No;Yes;No;;;No;;;No;No;;;No;No;13;12;3;5;0;2;2;;No full-time seasonal or temporary workers;;;50;;50;;No;;;;;265000;500000;25000;5000;;830000;485000;525000;250000;2500;1551;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;9;7;0;13;1000000;1;0;0;0;1;0;0;0;0;1;0;2;14;1;1
658612;1249;Fresh;Food & Beverages;Small;Food;13;Small;Italy;Italy;Euro (EUR);;2018;Partnership;50;100;0;0;0;No;;0;;No;No;1975;5;1975;40;No;Manufacturing of ;Ham Processing;100;800000;800000;Stay the same;;80;20;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;13;13;9;0;0;4;3;;No full-time seasonal or temporary workers;;;;13;;4;No;;;;;350000;250000;12000;Don't know (spontaneous);;700000;250000;Don't know (spontaneous);10000;6000;1511;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;46;40;0;13;800000;1;0;0;0;1;0;0;0;0;0;0;2;14;0;0
658613;1266;Fresh;Food & Beverages;Small;Food;6;Small;Italy;Italy;Euro (EUR);;2017;Sole proprietorship;100;100;0;0;0;Yes;100;100;100;No;No;1935;3;Don't know (spontaneous);43;No;Manufacturing of ;Bread, Patisserie And Similar;100;440000;585000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;3;Yes;Yes;No;No;No;No;;;;No;;;No;No;;;Yes;No;5;5;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;1;1;11;;5;No one has a university degree;;No;;;;;100000;Don't know (spontaneous);18000;0;;230000;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);0;1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;86;43;0;5;440000;0;0;0;0;1;0;0;0;0;0;1;2;13;1;1
658614;1316;Fresh;Food & Beverages;Small;Food;8;Small;Italy;Italy;Euro (EUR);;2017;Partnership;80;100;0;0;0;No;;0;;No;No;1938;Don't know (spontaneous);1938;25;No;Manufacturing of ;Production Of Ice Cream Cones, Waffles;100;1000000;Don't know (spontaneous);Increase;15;80;0;20;;;;;;;;National Ð main product sold mostly across the country where establishment is located;2;No;;No;No;No;No;;;;Yes;20000;0;No;No;;;Yes;No;8;8;1;1;1;0;2;;2;0;8;100;;1;;No;;;;;250000;65000;10000;Don't know (spontaneous);;Don't know (spontaneous);65000;150000;Don't know (spontaneous);Don't know (spontaneous);1541;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;83;25;0;8;1000000;1;0;0;0;1;0;0;0;0;0;0;1;14;0;0
658615;1320;Fresh;Food & Beverages;Small;Retail;8;Small;Italy;Italy;Euro (EUR);;2017;Partnership;70;100;0;0;0;No;;100;0;No;No;1986;3;1986;30;No;Retail trade of;Retail And Production Of Fine Black Truffle;100;Don't know (spontaneous);Don't know (spontaneous);Stay the same;;55;10;35;;;;;;;;National Ð main product sold mostly across the country where establishment is located;2;No;;No;No;No;No;;;;Yes;20000;0;No;;;;Yes;No;8;7;;;;;;2;No full-time seasonal or temporary workers;;;100;;;6;No;;;;;180000;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;;;Don't know (spontaneous);Don't know (spontaneous);5220;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;35;30;0;8;;1;0;0;0;1;0;0;0;0;0;0;1;;0;1
658616;1332;Fresh;Food & Beverages;Small;Retail;7;Small;Italy;Italy;Euro (EUR);;2017;Partnership;70;100;0;0;0;Yes;70;100;100;No;No;1970;4;1970;40;Yes;Retail trade of;Resale Of Bread, Cakes, Pizza;100;300000;250000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;2;No;;No;No;No;No;;;;No;;;No;;;;No;No;7;7;;;;;;5;No full-time seasonal or temporary workers;;;100;;100;;No;;;;;110000;;12000;0;Don't know (spontaneous);;;;Don't know (spontaneous);Don't know (spontaneous);5220;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;51;40;1;7;300000;0;0;0;0;1;0;0;0;0;0;0;2;13;1;1
658617;1364;Fresh;Food & Beverages;Small;Retail;6;Small;Italy;Italy;Euro (EUR);;2017;Partnership;50;100;0;0;0;No;;0;;No;No;1990;6;1990;25;No;Retail trade of;Resale Of Bread, Cakes, Pizza;100;Don't know (spontaneous);Don't know (spontaneous);Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;2;No;;No;No;No;No;;;;No;;;No;;;;No;No;6;6;;;;;;2;No full-time seasonal or temporary workers;;;100;;100;;No;;;;;150000;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;;;Don't know (spontaneous);Don't know (spontaneous);5220;Small (5-19);1;0;0;0;1;0;0;0;0;0;0;31;25;0;6;;0;0;0;0;1;0;0;0;0;0;0;2;;0;0
